                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1268,                 1.1523,                0.98757,                0.69432,                 0.1656,                0.14139,                0.06369,                 1.8454,                 3.4649,                 1.0355,              7.527e-05,              7.527e-05,              7.527e-05
                     78,                 1.0377,                 1.1125,                0.96591,                0.69974,                0.16791,                0.14285,                0.06288,                 1.8359,                  3.498,                 1.0347,             7.3212e-05,             7.3212e-05,             7.3212e-05
                     79,                 1.0985,                 1.1639,                0.95669,                0.69974,                0.16791,                0.14285,                0.06288,                 1.8359,                  3.498,                 1.0347,             7.1074e-05,             7.1074e-05,             7.1074e-05
                     80,                 1.1091,                 1.0903,                0.94204,                0.69974,                0.16791,                0.14285,                0.06288,                 1.8359,                  3.498,                 1.0347,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     81,                 1.1559,                 1.1608,                0.97205,                0.70231,                0.16908,                  0.145,                0.06413,                 1.8157,                 3.5003,                 1.0308,              6.656e-05,              6.656e-05,              6.656e-05
                     82,                  1.205,                 1.1504,                0.98123,                0.70231,                0.16908,                  0.145,                0.06413,                 1.8157,                 3.5003,                 1.0308,             6.4184e-05,             6.4184e-05,             6.4184e-05
                     83,                 1.2114,                  1.155,                0.95108,                0.70231,                0.16908,                  0.145,                0.06413,                 1.8157,                 3.5003,                 1.0308,              6.173e-05,              6.173e-05,              6.173e-05
                     84,                 1.2284,                 1.2979,                0.95412,                0.60677,                0.14921,                 0.1288,                0.06728,                 1.8083,                 3.5002,                  1.032,             5.9196e-05,             5.9196e-05,             5.9196e-05
                     85,                 1.1395,                 1.2068,                0.96147,                0.60677,                0.14921,                 0.1288,                0.06728,                 1.8083,                 3.5002,                  1.032,             5.6582e-05,             5.6582e-05,             5.6582e-05
                     86,                 1.1067,                 1.1209,                0.97908,                0.60677,                0.14921,                 0.1288,                0.06728,                 1.8083,                 3.5002,                  1.032,              5.389e-05,              5.389e-05,              5.389e-05
                     87,                 1.2086,                 1.3232,                0.94979,                0.60677,                0.14921,                 0.1288,                0.06728,                 1.8083,                 3.5002,                  1.032,             5.1118e-05,             5.1118e-05,             5.1118e-05
                     88,                 1.1938,                 1.1212,                 0.9191,                0.60603,                0.14088,                0.12871,                0.06443,                 1.8121,                 3.4961,                  1.037,             4.8268e-05,             4.8268e-05,             4.8268e-05
                     89,                  1.142,                 1.0877,                0.92169,                0.60603,                0.14088,                0.12871,                0.06443,                 1.8121,                 3.4961,                  1.037,             4.5338e-05,             4.5338e-05,             4.5338e-05
                     90,                  1.068,                 1.0835,                0.95777,                0.60603,                0.14088,                0.12871,                0.06443,                 1.8121,                 3.4961,                  1.037,             4.2328e-05,             4.2328e-05,             4.2328e-05
                     91,                 1.0876,                 1.3029,                 0.9799,                0.60603,                0.14088,                0.12871,                0.06443,                 1.8121,                 3.4961,                  1.037,              3.924e-05,              3.924e-05,              3.924e-05
                     92,                 0.9823,                 1.2811,                0.95921,                0.62494,                0.16056,                 0.1403,                0.06586,                 1.8113,                  3.472,                 1.0357,             3.6072e-05,             3.6072e-05,             3.6072e-05
                     93,                 1.1096,                 1.2182,                 1.0019,                0.62494,                0.16056,                 0.1403,                0.06586,                 1.8113,                  3.472,                 1.0357,             3.2826e-05,             3.2826e-05,             3.2826e-05
                     94,                 1.2116,                 1.2129,                0.97083,                0.62494,                0.16056,                 0.1403,                0.06586,                 1.8113,                  3.472,                 1.0357,               2.95e-05,               2.95e-05,               2.95e-05
                     95,                 1.1281,                 1.2583,                 1.0233,                0.62494,                0.16056,                 0.1403,                0.06586,                 1.8113,                  3.472,                 1.0357,             2.6094e-05,             2.6094e-05,             2.6094e-05
                     96,                 1.0876,                 1.2843,                0.94593,                0.61987,                0.16476,                0.13653,                0.06391,                 1.8092,                 3.4473,                 1.0312,              2.261e-05,              2.261e-05,              2.261e-05
                     97,                 1.1016,                 1.2224,                0.95037,                0.61987,                0.16476,                0.13653,                0.06391,                 1.8092,                 3.4473,                 1.0312,             1.9046e-05,             1.9046e-05,             1.9046e-05
                     98,                 1.1216,                 1.2838,                0.97547,                0.61987,                0.16476,                0.13653,                0.06391,                 1.8092,                 3.4473,                 1.0312,             1.5404e-05,             1.5404e-05,             1.5404e-05
                     99,                 1.1139,                 1.3701,                0.92061,                0.61987,                0.16476,                0.13653,                0.06391,                 1.8092,                 3.4473,                 1.0312,             1.1682e-05,             1.1682e-05,             1.1682e-05
                    100,                 1.2147,                 1.2376,                0.94755,                0.56113,                0.16981,                0.14843,                0.06473,                 1.7938,                 3.4173,                 1.0244,             7.8804e-06,             7.8804e-06,             7.8804e-06
